EVENT_UNIQUE_ID,OCCURRENCE_YEAR,LOCATION_TYPE,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS
GO-2020419237,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,None,2SLGBTQ+,None
GO-2020444597,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,None,None
GO-2020490713,2020,Public Transportation,None,None,None,None,Jewish,None,None
GO-2020498784,2020,Public Transportation,None,None,Chinese,None,None,2SLGBTQ+,None
GO-2020493521,2020,Public Transportation,None,None,Filipino,None,Jewish,2SLGBTQ+,None
GO-2020552509,2020,Public Transportation,None,East/Southeast Asian,None,None,None,None,None
GO-2020613311,2020,Business/Retail,None,None,Israeli,None,None,None,None
GO-2020635727,2020,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,Jewish,None,None
GO-2020650246,2020,Public Transportation,None,None,Indian,None,None,None,None
GO-2020670337,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-2020662140,2020,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-2020662384,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-2020666686,2020,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-2020688833,2020,Streets/Roadways/Highway,None,"Black, East/Southeast Asian",None,None,None,None,None
GO-2020690486,2020,"Medical Facility (Hospitals, Long-term Care, etc.)",None,Black,None,None,None,None,None
GO-2020751197,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-2020762020,2020,Streets/Roadways/Highway,None,None,None,None,None,Gay,None
GO-2020768762,2020,Other Commercial / Corporate Places,None,None,None,None,None,None,Transgender Woman (Identifies As Woman)
GO-2020774576,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Gay,None
GO-2020786790,2020,Streets/Roadways/Highway,None,None,Indian,None,None,None,None
GO-2020728018,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,None,Transgender Man (Identifies As Man)
GO-2020835754,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-2020842472,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-2020854817,2020,Business/Retail,None,None,Indian,None,None,None,None
GO-2020884466,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,Black,None,None,None,None,None
GO-2020923641,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",YES,Black,None,None,Jewish,None,None
GO-2020906752,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Gay,None
GO-2020908753,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Muslim,None,None
GO-2020918712,2020,Religious Place of Worship/Cultural Centre,None,Black,None,None,Jewish,None,None
GO-2020937625,2020,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2020947252,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Gay,None
GO-2020963751,2020,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-2020966795,2020,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,Black,None,None,Jewish,None,None
GO-2020961819,2020,Streets/Roadways/Highway,None,None,Chinese,None,None,None,None
GO-2020972248,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20209013948,2020,Streets/Roadways/Highway,None,None,Chinese,None,None,None,None
GO-20201010327,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Muslim,None,None
GO-20201024209,2020,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-2020997632,2020,Public Transportation,None,None,None,None,Jewish,None,None
GO-20201003953,2020,Public Transportation,None,None,None,None,Jewish,None,None
GO-20209014360,2020,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,Black,None,None,None,None,None
GO-20201630415,2020,Other Commercial / Corporate Places,None,None,None,None,None,Lesbian,None
GO-20201007925,2020,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-20201013472,2020,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-20201020387,2020,Streets/Roadways/Highway,None,Black,None,None,Jewish,None,None
GO-20201021991,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,None,Gay,None
GO-20201052329,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20201041679,2020,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20201044099,2020,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-20201067559,2020,Other Commercial / Corporate Places,None,Black,None,None,None,None,None
GO-20201072586,2020,Public Transportation,None,Black,None,None,None,None,None
GO-20201102574,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Muslim,None,None
GO-20201110209,2020,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20201108335,2020,Streets/Roadways/Highway,None,None,Chinese,None,None,None,None
GO-20201122204,2020,"Medical Facility (Hospitals, Long-term Care, etc.)",None,Black,None,None,None,None,None
GO-20201125942,2020,Other Commercial / Corporate Places,None,None,Indian,None,None,None,None
GO-20201138124,2020,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-20201141523,2020,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-20201185810,2020,Other Commercial / Corporate Places,None,Black,None,None,None,None,None
GO-20201179614,2020,"Open Area, Park or Parking Lot",None,None,Chinese,None,None,None,None
GO-20201178509,2020,Public Transportation,None,Black,None,None,None,None,None
GO-20201190704,2020,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-20201189370,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,Black,None,None,None,None,None
GO-20201187441,2020,Public Transportation,None,White,None,None,None,None,None
GO-20201203559,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Other Christian Religion,None,None
GO-20201206515,2020,Streets/Roadways/Highway,None,None,Indian,None,None,None,None
GO-20201222033,2020,"Open Area, Park or Parking Lot",None,White,None,None,None,None,None
GO-20201229350,2020,Streets/Roadways/Highway,None,None,Chinese,None,None,None,None
GO-20201249453,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Gay,None
GO-20201246626,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,Jewish,None,None
GO-20201277326,2020,Other Commercial / Corporate Places,None,Black,None,None,Jewish,None,None
GO-20201324981,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,Chinese,None,Jewish,None,None
GO-20201324562,2020,Public Transportation,None,Black,None,None,None,None,None
GO-20201325599,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,Black,None,None,Jewish,None,None
GO-20201337494,2020,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-20201341509,2020,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20201348464,2020,Public Transportation,None,None,None,None,None,Gay,None
GO-20201366127,2020,Public Transportation,None,None,Indian,None,None,None,None
GO-20201362209,2020,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,Jewish,None,None
GO-20201395720,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,None,None,None
GO-20201370673,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,Black,None,None,None,None,None
GO-20201472966,2020,Public Transportation,None,White,None,None,None,None,None
GO-20201422468,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20201447775,2020,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20201426860,2020,Streets/Roadways/Highway,None,None,None,None,None,None,Transgender Woman (Identifies As Woman)
GO-20201438881,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-20201623706,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20201565183,2020,Streets/Roadways/Highway,None,None,None,None,Muslim,None,None
GO-20201474847,2020,Business/Retail,None,None,None,None,Jewish,None,None
GO-20201514928,2020,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20201523993,2020,Other Commercial / Corporate Places,None,"Black, South Asian",None,None,None,None,None
GO-20201507570,2020,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20201522469,2020,Public Transportation,None,South Asian,None,None,None,None,None
GO-20201523463,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,Chinese,None,None,None,None
GO-20201522205,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,None,None
GO-20201530526,2020,Other Commercial / Corporate Places,None,None,None,None,Jewish,2SLGBTQ+,None
GO-20201536968,2020,Streets/Roadways/Highway,None,None,Other Ethnicity not mentioned,None,None,None,None
GO-20201565625,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-20201562720,2020,Streets/Roadways/Highway,None,None,None,None,Muslim,None,None
GO-20201567160,2020,"Open Area, Park or Parking Lot",None,None,Israeli,None,None,None,None
GO-20201590479,2020,Public Transportation,None,None,None,Hindi,None,None,None
GO-20201593152,2020,Public Transportation,None,Black,None,None,None,None,None
GO-20201595949,2020,Streets/Roadways/Highway,None,Black,None,None,Jewish,None,None
GO-20201597769,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Gay,None
GO-20201602749,2020,Streets/Roadways/Highway,None,None,None,None,Sikh,None,None
GO-20201619401,2020,Other Commercial / Corporate Places,None,Black,None,None,None,None,None
GO-20201642422,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Catholic,None,None
GO-20201644939,2020,Streets/Roadways/Highway,None,None,Indian,None,None,None,None
GO-20201643473,2020,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-20201660552,2020,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20201666668,2020,Streets/Roadways/Highway,None,None,Indian,None,None,None,None
GO-20201676896,2020,Streets/Roadways/Highway,None,None,Indian,None,None,None,None
GO-20201706995,2020,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-2021117374,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Lesbian,None
GO-20201933564,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Lesbian,None
GO-20201706271,2020,Streets/Roadways/Highway,None,White,None,None,None,None,None
GO-20201715265,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,Chinese,None,None,None,None
GO-20201726139,2020,Public Transportation,None,None,None,None,Jewish,None,None
GO-20201714992,2020,Streets/Roadways/Highway,None,South Asian,None,None,None,None,None
GO-20201721707,2020,Government Building,None,None,None,None,Jewish,None,None
GO-20201718927,2020,Streets/Roadways/Highway,None,None,Israeli,None,Jewish,None,None
GO-20201737454,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,Chinese,None,None,None,None
GO-20201743127,2020,Public Transportation,None,None,None,None,Jewish,None,None
GO-20201762990,2020,Public Transportation,None,None,None,None,Jewish,None,None
GO-20201863275,2020,Public Transportation,None,South Asian,None,None,None,None,None
GO-20201785473,2020,Other Commercial / Corporate Places,None,None,Indian,None,None,None,None
GO-20201809326,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Catholic,None,None
GO-20201822351,2020,Streets/Roadways/Highway,None,None,None,None,None,None,Transgender Woman (Identifies As Woman)
GO-20201851383,2020,Streets/Roadways/Highway,None,None,Filipino,None,None,None,None
GO-20201856358,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,None,None,None
GO-20201858823,2020,Other Commercial / Corporate Places,None,None,Chinese,None,None,None,None
GO-20201871659,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,None,Gay,None
GO-20201910126,2020,Public Transportation,None,None,None,None,Jewish,None,None
GO-20201882595,2020,Business/Retail,None,None,None,None,Jewish,None,None
GO-20201891819,2020,Other Commercial / Corporate Places,None,Black,None,None,None,None,None
GO-20201916873,2020,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-20201931977,2020,Streets/Roadways/Highway,None,None,Other Ethnicity not mentioned,None,None,None,None
GO-20201937709,2020,"Medical Facility (Hospitals, Long-term Care, etc.)",None,Black,None,None,None,None,None
GO-20201953862,2020,Business/Retail,None,None,Other Ethnicity not mentioned,None,None,None,None
GO-20201956347,2020,"Medical Facility (Hospitals, Long-term Care, etc.)",None,Black,None,None,None,None,None
GO-20201981944,2020,Streets/Roadways/Highway,None,None,None,None,None,Gay,None
GO-20201959246,2020,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20201954792,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,Jewish,None,None
GO-20201983702,2020,Non-Commercial/Non for Profit,None,Black,None,None,None,None,None
GO-20201971657,2020,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20201971651,2020,"Open Area, Park or Parking Lot",None,None,Arab,None,None,None,None
GO-20201998336,2020,"Medical Facility (Hospitals, Long-term Care, etc.)",None,Black,None,None,None,None,None
GO-20202080364,2020,"Government Building (Courthouse, Museums, Parliament Building, etc.)",YES,None,None,None,None,None,None
GO-20202026971,2020,Streets/Roadways/Highway,None,Black,None,None,Jewish,None,None
GO-20202023578,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,Jewish,None,None
GO-20202038221,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20202046789,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,None,Gay,None
GO-20202046979,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-20202125777,2020,Public Transportation,None,None,None,None,Jewish,None,None
GO-20202050965,2020,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,Jewish,None,None
GO-20202065537,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,Black,None,None,None,None,None
GO-20202078892,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20202099014,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20202091909,2020,Other Commercial / Corporate Places,None,Black,None,None,None,None,None
GO-20202099535,2020,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-20202106539,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,None,None
GO-20202113151,2020,Streets/Roadways/Highway,None,None,Chinese,None,None,None,None
GO-20202139621,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,Jewish,None,None
GO-20202150331,2020,Streets/Roadways/Highway,None,None,None,None,None,2SLGBTQ+,None
GO-20202140674,2020,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20202146918,2020,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,White,None,None,None,None,None
GO-20202160722,2020,Streets/Roadways/Highway,None,None,None,None,Catholic,None,None
GO-20202185440,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,Black,None,None,None,None,None
GO-20202257681,2020,Streets/Roadways/Highway,None,None,Chinese,None,None,None,None
GO-20202230383,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20202231230,2020,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20202249100,2020,Public Transportation,None,None,None,None,Muslim,None,None
GO-20202253077,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,Jewish,None,None
GO-20202271709,2020,Streets/Roadways/Highway,None,None,African,None,None,None,None
GO-20202298052,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Catholic,None,None
GO-20202310385,2020,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20202322665,2020,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-20202334437,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,None,None
GO-20202352313,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Catholic,None,None
GO-20202379836,2020,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,Jewish,None,None
GO-20202381048,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,None,None,None
GO-20202403949,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-20202407120,2020,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20202405430,2020,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20202436524,2020,Other Commercial / Corporate Places,None,None,None,None,Muslim,None,None
GO-20202408902,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Catholic,None,None
GO-20202416423,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-2021106655,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,White,None,None,None,2SLGBTQ+,None
GO-20212107726,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,None,Transgender Woman (Identifies As Woman)
GO-20218566,2021,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-202125497,2021,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-202173071,2021,Streets/Roadways/Highway,None,White,None,None,None,None,None
GO-202180953,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2021106201,2021,NA,None,Black,None,None,None,None,None
GO-2021138201,2021,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2021167353,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Catholic,None,None
GO-2021170495,2021,Streets/Roadways/Highway,None,Other race not mentioned,None,None,None,None,None
GO-2021168331,2021,Other Commercial / Corporate Places,None,None,Indian,None,None,None,None
GO-2021175910,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,2SLGBTQ+,None
GO-2021176294,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,None,None,None
GO-2021176592,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-2021208943,2021,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-2021298910,2021,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,Black,None,None,None,None,None
GO-2021261871,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,None,None
GO-2021293547,2021,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-2021349922,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-2021306505,2021,"Medical Facility (Hospitals, Long-term Care, etc.)",None,Black,None,None,None,None,None
GO-2021296866,2021,Other Commercial / Corporate Places,None,East/Southeast Asian,None,None,None,None,None
GO-2021330327,2021,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-2021336476,2021,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,None,Gay,None
GO-2021356262,2021,Public Transportation,None,Black,None,None,None,None,None
GO-2021348769,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2021359774,2021,Other Commercial / Corporate Places,None,East/Southeast Asian,None,None,None,None,None
GO-2021363989,2021,Streets/Roadways/Highway,None,None,Chinese,None,None,None,None
GO-2021373346,2021,Streets/Roadways/Highway,None,None,None,None,Muslim,None,None
GO-2021377606,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-20211555000,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,None,Transgender Woman (Identifies As Woman)
GO-2021501349,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-2021394695,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,None,None
GO-2021398901,2021,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-2021431308,2021,Public Transportation,None,None,None,None,Muslim,None,None
GO-2021430023,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,None,None,None
GO-2021443523,2021,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,Black,None,None,None,None,None
GO-2021450409,2021,Other Commercial / Corporate Places,None,Black,None,None,None,None,None
GO-2021451622,2021,Streets/Roadways/Highway,None,None,None,None,Muslim,None,None
GO-2021461591,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2021462708,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,Iranian,None,None,None,None
GO-2021475428,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-2021472715,2021,Public Transportation,None,None,None,None,Jewish,None,None
GO-2021486994,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",YES,None,None,None,None,2SLGBTQ+,None
GO-2021502130,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,2SLGBTQ+,None
GO-2021557630,2021,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,Jewish,None,None
GO-2021663948,2021,Public Transportation,None,East/Southeast Asian,None,None,None,None,None
GO-2021522157,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Muslim,None,None
GO-2021530017,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,Woman
GO-2021530321,2021,Public Transportation,None,East/Southeast Asian,None,None,None,None,None
GO-2021536170,2021,NA,None,East/Southeast Asian,None,None,None,None,None
GO-2021536282,2021,"Open Area, Park or Parking Lot",None,None,None,None,None,Gay,None
GO-2021549299,2021,Streets/Roadways/Highway,None,None,Chinese,None,None,None,None
GO-2021548716,2021,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2021548577,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,East/Southeast Asian,None,None,None,None,None
GO-2021548532,2021,Public Transportation,None,East/Southeast Asian,None,None,None,None,None
GO-2021547990,2021,NA,None,None,Indian,None,None,None,None
GO-2021552518,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2021563236,2021,"Open Area, Park or Parking Lot",None,"Black, East/Southeast Asian",None,None,None,None,None
GO-2021606576,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Muslim,None,None
GO-2021570861,2021,Public Transportation,None,"East/Southeast Asian, South Asian, Black",None,None,None,None,None
GO-2021574723,2021,Streets/Roadways/Highway,None,None,African,None,Muslim,None,None
GO-2021582585,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2021581081,2021,"Open Area, Park or Parking Lot",None,None,None,None,Muslim,None,None
GO-2021590369,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2021586684,2021,Public Transportation,None,Black,None,None,None,None,Transgender
GO-2021589948,2021,Business/Retail,None,East/Southeast Asian,None,None,None,None,None
GO-2021598122,2021,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,South Asian,None,None,None,None,None
GO-2021600062,2021,Public Transportation,None,None,Filipino,None,None,None,None
GO-2021621742,2021,"Open Area, Park or Parking Lot",None,Black,None,None,Jewish,None,Woman
GO-2021624083,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Gay,None
GO-2021627164,2021,"Open Area, Park or Parking Lot",None,None,None,None,None,None,Woman
GO-2021653304,2021,Public Transportation,None,East/Southeast Asian,None,None,None,None,None
GO-2021676930,2021,Public Transportation,None,Black,None,None,None,None,None
GO-2021668593,2021,Public Transportation,None,None,None,None,None,None,Woman
GO-2021666152,2021,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,Black,None,None,None,None,None
GO-2021666753,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2021676887,2021,Public Transportation,None,East/Southeast Asian,None,None,None,None,None
GO-2021661692,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-20212011597,2021,Non-Commercial/Non for Profit,None,None,None,None,None,None,Transgender Woman (Identifies As Woman)
GO-2021717805,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2021764286,2021,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-2021770439,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,None,Woman
GO-2021933259,2021,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,2SLGBTQ+,None
GO-2021788273,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,"Black, East/Southeast Asian",None,None,None,2SLGBTQ+,None
GO-2021791912,2021,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-2021963450,2021,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,Israeli,None,None,None,None
GO-2021802780,2021,Public Transportation,None,Black,None,None,None,None,None
GO-2021814585,2021,"Open Area, Park or Parking Lot",None,None,None,None,Muslim,None,None
GO-2021826960,2021,Public Transportation,None,None,None,None,Jewish,None,Woman
GO-2021826425,2021,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-2021859797,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2021867624,2021,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-2021865578,2021,Public Transportation,None,Black,None,None,Jewish,None,None
GO-2021862686,2021,"Medical Facility (Hospitals, Long-term Care, etc.)",None,None,None,None,Muslim,None,None
GO-2021870722,2021,Public Transportation,None,Black,None,None,None,None,None
GO-2021890663,2021,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,Israeli,None,Jewish,None,None
GO-2021892509,2021,Government Building,None,Black,None,None,Jewish,None,None
GO-2021903644,2021,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2021907262,2021,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2021898349,2021,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-2021900425,2021,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2021900998,2021,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2021911402,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-2021913458,2021,Streets/Roadways/Highway,None,None,None,None,None,None,Transgender Woman (Identifies As Woman)
GO-2021921486,2021,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-2021927369,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-2021957429,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2021962565,2021,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-2021962023,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2021992486,2021,"Educational Institution (Universities, Colleges, Schools, etc.)",None,"Black, East/Southeast Asian",None,None,None,None,None
GO-20211013649,2021,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-20211009522,2021,Religious Place of Worship/Cultural Centre,None,None,None,None,None,None,Woman
GO-20211023985,2021,"Open Area, Park or Parking Lot",None,None,Arab,None,None,None,None
